"source_account_id","owner_source_id","owner_type","account_type","currency","opened_date","closed_date","status","balance_snapshot","balance_snapshot_at"
"ACC-0000001","CUST-000001","INDIVIDUAL","WALLET","IDR","2022-11-14","","ACTIVE","216196694.00","2026-09-30T00:00:00+07:00"
"ACC-0000002","CUST-000002","INDIVIDUAL","WALLET","IDR","2021-03-06","","ACTIVE","216178026.00","2026-09-30T00:00:00+07:00"
"ACC-0000003","CUST-000003","INDIVIDUAL","WALLET","IDR","2024-11-13","","ACTIVE","17107957.00","2026-09-30T00:00:00+07:00"
"ACC-0000004","CUST-000003","INDIVIDUAL","WALLET","IDR","2022-01-22","","ACTIVE","143538844.00","2026-09-30T00:00:00+07:00"
"ACC-0000005","CUST-000004","INDIVIDUAL","WALLET","IDR","2023-07-11","","ACTIVE","90872562.00","2026-09-30T00:00:00+07:00"
"ACC-0000006","CUST-000005","INDIVIDUAL","WALLET","IDR","2022-09-18","","ACTIVE","173681996.00","2026-09-30T00:00:00+07:00"
"ACC-0000007","CUST-000006","INDIVIDUAL","WALLET","IDR","2024-06-11","","ACTIVE","87324665.00","2026-09-30T00:00:00+07:00"
"ACC-0000008","CUST-000007","INDIVIDUAL","WALLET","IDR","2025-12-12","","ACTIVE","206110304.00","2026-09-30T00:00:00+07:00"
"ACC-0000009","CUST-000008","INDIVIDUAL","WALLET","IDR","2025-05-03","2028-06-29","CLOSED","149093298.00","2026-09-30T00:00:00+07:00"
"ACC-0000010","CUST-000009","INDIVIDUAL","WALLET","IDR","2022-06-27","","RESTRICTED","8114834.00","2026-09-30T00:00:00+07:00"
"ACC-0000011","CUST-000009","INDIVIDUAL","WALLET","IDR","2023-07-06","","ACTIVE","112043998.00","2026-09-30T00:00:00+07:00"
"ACC-0000012","CUST-000010","INDIVIDUAL","WALLET","IDR","2021-01-17","","ACTIVE","155303164.00","2026-09-30T00:00:00+07:00"
"ACC-0000013","CUST-000011","INDIVIDUAL","WALLET","IDR","2024-12-09","","ACTIVE","123672321.00","2026-09-30T00:00:00+07:00"
"ACC-0000014","CUST-000012","INDIVIDUAL","WALLET","IDR","2020-10-23","","ACTIVE","21766843.00","2026-09-30T00:00:00+07:00"
"ACC-0000015","CUST-000013","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2021-09-14","","ACTIVE","114127779.00","2026-09-30T00:00:00+07:00"
"ACC-0000016","CUST-000014","INDIVIDUAL","WALLET","IDR","2022-05-31","","ACTIVE","47307866.00","2026-09-30T00:00:00+07:00"
"ACC-0000017","CUST-000015","INDIVIDUAL","WALLET","IDR","2021-03-22","","ACTIVE","132717744.00","2026-09-30T00:00:00+07:00"
"ACC-0000018","CUST-000016","INDIVIDUAL","WALLET","IDR","2022-04-19","","ACTIVE","113302937.00","2026-09-30T00:00:00+07:00"
"ACC-0000019","CUST-000016","INDIVIDUAL","WALLET","IDR","2023-07-16","","ACTIVE","177426170.00","2026-09-30T00:00:00+07:00"
"ACC-0000020","CUST-000017","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2024-06-30","","ACTIVE","45377302.00","2026-09-30T00:00:00+07:00"
"ACC-0000021","CUST-000018","INDIVIDUAL","WALLET","IDR","2021-07-27","","ACTIVE","179844917.00","2026-09-30T00:00:00+07:00"
"ACC-0000022","CUST-000019","INDIVIDUAL","WALLET","IDR","2025-12-11","","ACTIVE","88003104.00","2026-09-30T00:00:00+07:00"
"ACC-0000023","CUST-000020","INDIVIDUAL","WALLET","IDR","2021-08-11","","ACTIVE","812097.00","2026-09-30T00:00:00+07:00"
"ACC-0000024","CUST-000021","INDIVIDUAL","WALLET","IDR","2022-05-21","","ACTIVE","162206769.00","2026-09-30T00:00:00+07:00"
"ACC-0000025","CUST-000022","INDIVIDUAL","WALLET","IDR","2021-01-07","","ACTIVE","18486470.00","2026-09-30T00:00:00+07:00"
"ACC-0000026","CUST-000023","INDIVIDUAL","WALLET","IDR","2023-07-04","","ACTIVE","128255081.00","2026-09-30T00:00:00+07:00"
"ACC-0000027","CUST-000024","INDIVIDUAL","WALLET","IDR","2026-01-02","","ACTIVE","112875446.00","2026-09-30T00:00:00+07:00"
"ACC-0000028","CUST-000025","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2026-01-04","","ACTIVE","203234902.00","2026-09-30T00:00:00+07:00"
"ACC-0000029","CUST-000025","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2025-05-11","","ACTIVE","181604160.00","2026-09-30T00:00:00+07:00"
"ACC-0000030","CUST-000026","INDIVIDUAL","WALLET","IDR","2022-12-05","","ACTIVE","10653671.00","2026-09-30T00:00:00+07:00"
"ACC-0000031","CUST-000027","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2022-10-28","","ACTIVE","226562142.00","2026-09-30T00:00:00+07:00"
"ACC-0000032","CUST-000028","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2023-12-26","","ACTIVE","77644583.00","2026-09-30T00:00:00+07:00"
"ACC-0000033","CUST-000029","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2024-03-05","","ACTIVE","120112331.00","2026-09-30T00:00:00+07:00"
"ACC-0000034","CUST-000029","INDIVIDUAL","WALLET","IDR","2021-04-01","","ACTIVE","166284583.00","2026-09-30T00:00:00+07:00"
"ACC-0000035","CUST-000030","INDIVIDUAL","WALLET","IDR","2022-08-15","","ACTIVE","120188848.00","2026-09-30T00:00:00+07:00"
"ACC-0000036","CUST-000031","INDIVIDUAL","WALLET","IDR","2021-05-07","","ACTIVE","10085865.00","2026-09-30T00:00:00+07:00"
"ACC-0000037","CUST-000032","INDIVIDUAL","WALLET","IDR","2021-01-02","","ACTIVE","44903509.00","2026-09-30T00:00:00+07:00"
"ACC-0000038","CUST-000032","INDIVIDUAL","WALLET","IDR","2021-09-23","","ACTIVE","200040859.00","2026-09-30T00:00:00+07:00"
"ACC-0000039","CUST-000032","INDIVIDUAL","WALLET","IDR","2021-01-14","","ACTIVE","26933055.00","2026-09-30T00:00:00+07:00"
"ACC-0000040","CUST-000033","INDIVIDUAL","WALLET","IDR","2026-02-13","","ACTIVE","31267885.00","2026-09-30T00:00:00+07:00"
"ACC-0000041","CUST-000034","INDIVIDUAL","WALLET","IDR","2021-07-28","","ACTIVE","247537351.00","2026-09-30T00:00:00+07:00"
"ACC-0000042","CUST-000035","INDIVIDUAL","WALLET","IDR","2022-12-03","","DORMANT","249450617.00","2026-09-30T00:00:00+07:00"
