"source_business_id","legal_name","trading_names","registration_number","registration_country","incorporation_date","industry_code","declared_turnover_band","address_line","city","province","postcode","country","contact_phone","contact_email","status"
"BUS-00001","PT Sejahtera Perkasa","Sejahtera Perkasa","9933573547250","ID","2018-02-27","59539","2_5B_50B","Jl. Anggrek No. 119","Surabaya","Jawa Timur","60111","ID","+628992392100","bus-00001@mailuji.example","ACTIVE"
"BUS-00002","UD Harapan Bersama","Harapan Bersama","9997320240087","ID","2019-11-27","52400","LT_300M","Jl. Melati No. 51","Balikpapan","Kalimantan Timur","76111","ID","+628995830342","bus-00002@mailuji.example","ACTIVE"
"BUS-00003","PT Berkah Digital","Berkah Digital","9941131366575","ID","2024-10-25","13923","LT_300M","Jl. Teratai No. 19","Medan","Sumatera Utara","20111","ID","+628994112389","bus-00003@contoh.id","ACTIVE"
"BUS-00004","PT Sinar Niaga","Sinar Niaga","9935904846401","ID","2014-06-01","53119","GT_50B","Jl. Flamboyan No. 8","Jakarta Pusat","DKI Jakarta","10110","ID","+628994642531","bus-00004@surelsintetis.id","ACTIVE"
"BUS-00005","Koperasi Sentosa Niaga","Sentosa Niaga","9965182804393","ID","2014-04-01","37729","300M_2_5B","Jl. Melati No. 103","Surabaya","Jawa Timur","60111","ID","+628995838202","bus-00005@contoh.id","ACTIVE"
"BUS-00006","CV Lestari Utama","Lestari Utama","9960510943468","ID","2012-12-25","58570","300M_2_5B","Jl. Mawar No. 198","Surabaya","Jawa Timur","60111","ID","+628994242967","bus-00006@surelsintetis.id","ACTIVE"
"BUS-00007","PT Abadi Digital","Abadi Digital","9912348896615","ID","2017-01-08","66107","300M_2_5B","Jl. Mawar No. 230","Semarang","Jawa Tengah","50111","ID","+628996701144","bus-00007@mailuji.example","ACTIVE"
"BUS-00008","UD Mandiri Nusantara","Mandiri Nusantara","9943748896102","ID","2013-01-26","18942","2_5B_50B","Jl. Teratai No. 205","Yogyakarta","DI Yogyakarta","55111","ID","+628993037330","bus-00008@mailuji.example","ACTIVE"
"BUS-00009","PT Harapan Nusantara","Harapan Nusantara","9963878199081","ID","2013-07-23","16033","300M_2_5B","Jl. Cempaka No. 130","Balikpapan","Kalimantan Timur","76111","ID","+628995583082","bus-00009@contoh.id","ACTIVE"
"BUS-00010","UD Sinar Nusantara","Sinar Nusantara","9947695029889","ID","2020-09-22","35085","GT_50B","Jl. Anggrek No. 57","Jakarta Pusat","DKI Jakarta","10110","ID","+628993006606","bus-00010@demo.example","CLOSED"
"BUS-00011","Koperasi Sejahtera Logistik","Sejahtera Logistik","9944289921397","ID","2013-04-25","70788","GT_50B","Jl. Flamboyan No. 215","Makassar","Sulawesi Selatan","90111","ID","+628993474285","bus-00011@demo.example","ACTIVE"
"BUS-00012","PT Harapan Nusantara","Harapan Nusantara","9917750066793","ID","2018-01-06","84269","2_5B_50B","Jl. Teratai No. 1","Medan","Sumatera Utara","20111","ID","+628992927955","bus-00012@contoh.id","ACTIVE"
"BUS-00013","PT Maju Utama","Maju Utama","9918215945372","ID","2016-06-24","55390","LT_300M","Jl. Teratai No. 160","Makassar","Sulawesi Selatan","90111","ID","+628998769880","bus-00013@contoh.id","ACTIVE"
"BUS-00014","CV Mandiri Perkasa","Mandiri Perkasa","9938113416679","ID","2022-12-25","53539","2_5B_50B","Jl. Dahlia No. 192","Semarang","Jawa Tengah","50111","ID","+628997367457","bus-00014@mailuji.example","ACTIVE"
"BUS-00015","Koperasi Abadi Bersama","Abadi Bersama","9976515613385","ID","2012-12-04","55074","LT_300M","Jl. Flamboyan No. 166","Makassar","Sulawesi Selatan","90111","ID","+628994686971","bus-00015@contoh.id","CLOSED"
"BUS-00016","Koperasi Lestari Niaga","Lestari Niaga","9962975102094","ID","2023-06-14","28891","300M_2_5B","Jl. Kenanga No. 190","Balikpapan","Kalimantan Timur","76111","ID","+628993816488","bus-00016@mailuji.example","ACTIVE"
"BUS-00017","UD Berkah Digital","Berkah Digital","9981673854106","ID","2018-06-22","94365","GT_50B","Jl. Teratai No. 166","Palembang","Sumatera Selatan","30111","ID","+628997434293","bus-00017@demo.example","ACTIVE"
"BUS-00018","CV Abadi Nusantara","Abadi Nusantara","9920736871701","ID","2020-04-03","43874","LT_300M","Jl. Flamboyan No. 224","Denpasar","Bali","80111","ID","+628994337035","bus-00018@contoh.id","ACTIVE"
"BUS-00019","UD Jaya Perkasa","Jaya Perkasa","9994070724822","ID","2014-04-02","16517","LT_300M","Jl. Bougenville No. 87","Palembang","Sumatera Selatan","30111","ID","+628992663837","bus-00019@demo.example","SUSPENDED"
"BUS-00020","CV Sejahtera Utama","Sejahtera Utama","9953257957370","ID","2012-10-07","15511","GT_50B","Jl. Dahlia No. 61","Medan","Sumatera Utara","20111","ID","+628999453281","bus-00020@surelsintetis.id","ACTIVE"
"BUS-00021","CV Berkah Nusantara","Berkah Nusantara","9944980308489","ID","2023-04-17","16163","GT_50B","Jl. Melati No. 25","Palembang","Sumatera Selatan","30111","ID","+628995863750","bus-00021@demo.example","ACTIVE"
"BUS-00022","UD Cemerlang Digital","Cemerlang Digital","9926700979395","ID","2014-03-24","68760","GT_50B","Jl. Dahlia No. 9","Makassar","Sulawesi Selatan","90111","ID","+628996850965","bus-00022@demo.example","ACTIVE"
"BUS-00023","Koperasi Sinar Bersama","Sinar Bersama","9922249055368","ID","2023-11-06","42157","GT_50B","Jl. Flamboyan No. 86","Medan","Sumatera Utara","20111","ID","+628996826804","bus-00023@surelsintetis.id","ACTIVE"
"BUS-00024","Koperasi Jaya Logistik","Jaya Logistik","9988213078459","ID","2013-05-14","79092","300M_2_5B","Jl. Bougenville No. 221","Bandung","Jawa Barat","40111","ID","+628994436681","bus-00024@surelsintetis.id","ACTIVE"
"BUS-00025","PT Maju Digital","Maju Digital","9936936366709","ID","2016-05-15","13367","LT_300M","Jl. Cempaka No. 228","Semarang","Jawa Tengah","50111","ID","+628998263488","bus-00025@surelsintetis.id","ACTIVE"
"BUS-00026","Koperasi Sinar Perkasa","Sinar Perkasa","9983714823438","ID","2020-02-24","26460","LT_300M","Jl. Cempaka No. 22","Yogyakarta","DI Yogyakarta","55111","ID","+628999661085","bus-00026@mailuji.example","ACTIVE"
"BUS-00027","Koperasi Abadi Digital","Abadi Digital","9996892231184","ID","2015-04-09","20551","GT_50B","Jl. Mawar No. 81","Jakarta Pusat","DKI Jakarta","10110","ID","+628999330822","bus-00027@surelsintetis.id","ACTIVE"
"BUS-00028","CV Sinar Digital","Sinar Digital","9955324507707","ID","2022-06-20","72806","300M_2_5B","Jl. Anggrek No. 224","Jakarta Pusat","DKI Jakarta","10110","ID","+628993356217","bus-00028@surelsintetis.id","ACTIVE"
"BUS-00029","UD Lestari Niaga","Lestari Niaga","9953876262751","ID","2021-05-07","96643","2_5B_50B","Jl. Flamboyan No. 180","Balikpapan","Kalimantan Timur","76111","ID","+628992106652","bus-00029@contoh.id","ACTIVE"
"BUS-00030","CV Jaya Nusantara","Jaya Nusantara","9926128737382","ID","2016-05-30","26013","LT_300M","Jl. Cempaka No. 95","Yogyakarta","DI Yogyakarta","55111","ID","+628992211701","bus-00030@mailuji.example","ACTIVE"
"BUS-00031","CV Abadi Utama","Abadi Utama","9978086406247","ID","2012-08-21","28505","300M_2_5B","Jl. Melati No. 62","Medan","Sumatera Utara","20111","ID","+628996023466","bus-00031@demo.example","ACTIVE"
"BUS-00032","Koperasi Mandiri Logistik","Mandiri Logistik","9976830231644","ID","2020-09-06","15817","300M_2_5B","Jl. Flamboyan No. 174","Semarang","Jawa Tengah","50111","ID","+628998923702","bus-00032@mailuji.example","ACTIVE"
"BUS-00033","CV Jaya Niaga","Jaya Niaga","9970248401602","ID","2023-11-27","12973","LT_300M","Jl. Mawar No. 73","Surabaya","Jawa Timur","60111","ID","+628999430835","bus-00033@surelsintetis.id","ACTIVE"
"BUS-00034","UD Cemerlang Nusantara","Cemerlang Nusantara","9936030657914","ID","2018-05-09","14409","300M_2_5B","Jl. Cempaka No. 183","Bandung","Jawa Barat","40111","ID","+628994800049","bus-00034@mailuji.example","ACTIVE"
"BUS-00035","Koperasi Sejahtera Bersama","Sejahtera Bersama","9921617714809","ID","2017-08-26","89586","2_5B_50B","Jl. Dahlia No. 193","Yogyakarta","DI Yogyakarta","55111","ID","+628993913619","bus-00035@mailuji.example","ACTIVE"
"BUS-00036","UD Sejahtera Perkasa","Sejahtera Perkasa","9954326261461","ID","2024-04-10","51428","GT_50B","Jl. Anggrek No. 203","Semarang","Jawa Tengah","50111","ID","+628992496232","bus-00036@surelsintetis.id","ACTIVE"
