"source_device_id","device_type","os_family","app_version","is_emulator","is_rooted","first_seen","last_seen"
"DEV-000001","IOS_PHONE","Android 14","3.5.6","false","false","2025-07-07T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000002","ANDROID_PHONE","Android 13","7.12.1","false","false","2026-01-09T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000003","ANDROID_PHONE","Android 14","7.8.3","false","false","2025-09-24T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000004","ANDROID_PHONE","Android 14","3.12.5","false","false","2025-11-03T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000005","IOS_PHONE","iOS 17","4.4.8","false","false","2025-03-08T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000006","ANDROID_PHONE","iOS 18","4.8.4","false","false","2025-03-13T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000007","IOS_PHONE","Android 14","4.10.2","false","false","2025-11-20T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000008","TABLET","Other","4.19.2","false","false","2025-08-24T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000009","ANDROID_PHONE","iOS 18","4.10.4","false","false","2025-12-27T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000010","IOS_PHONE","Android 13","3.1.7","false","false","2026-03-05T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000011","ANDROID_PHONE","Android 14","3.8.0","false","false","2025-08-30T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000012","TABLET","Other","6.15.5","false","false","2025-10-27T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000013","ANDROID_PHONE","Android 15","4.5.0","false","false","2025-09-09T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000014","IOS_PHONE","Android 14","3.19.4","false","false","2025-03-30T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000015","ANDROID_PHONE","iOS 18","7.9.1","false","false","2025-06-08T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000016","WEB_BROWSER","Other","7.6.2","false","false","2025-04-08T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000017","ANDROID_PHONE","iOS 17","6.13.3","false","false","2025-06-20T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000018","IOS_PHONE","Android 14","6.7.6","false","false","2025-10-11T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000019","ANDROID_PHONE","Android 14","7.2.4","false","false","2026-03-17T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000020","IOS_PHONE","Android 13","3.1.1","false","false","2025-10-11T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000021","ANDROID_PHONE","Android 15","7.7.3","false","false","2025-03-30T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000022","ANDROID_PHONE","Android 15","7.4.5","false","false","2026-01-14T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000023","ANDROID_PHONE","Android 13","4.3.4","false","false","2025-03-25T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000024","IOS_PHONE","iOS 17","5.6.4","false","false","2025-07-23T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000025","ANDROID_PHONE","iOS 18","4.7.2","false","false","2025-03-13T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000026","ANDROID_PHONE","Android 15","3.15.5","false","false","2025-03-31T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000027","ANDROID_PHONE","iOS 17","3.17.2","false","false","2025-05-11T00:00:00+07:00","2026-09-30T00:00:00+07:00"
