"scenario_id","label_type","pattern_code","entity_source_id","window_start","window_end","expected_reason_code","note"
"ER-SAME_ID_NAME_VARIANT-00001","EDGE_CASE","ER","CUST-ER00001","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-008062"
"ER-SAME_ID_NAME_VARIANT-00002","EDGE_CASE","ER","CUST-ER00002","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000807"
"ER-SAME_ID_NAME_VARIANT-00003","EDGE_CASE","ER","CUST-ER00003","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-005661"
"ER-SAME_ID_NAME_VARIANT-00004","EDGE_CASE","ER","CUST-ER00004","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-005837"
"ER-SAME_ID_NAME_VARIANT-00005","EDGE_CASE","ER","CUST-ER00005","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-008377"
"ER-SAME_ID_NAME_VARIANT-00006","EDGE_CASE","ER","CUST-ER00006","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000484"
"ER-SAME_ID_NAME_VARIANT-00007","EDGE_CASE","ER","CUST-ER00007","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-003831"
"ER-SAME_ID_NAME_VARIANT-00008","EDGE_CASE","ER","CUST-ER00008","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007534"
"ER-SAME_ID_NAME_VARIANT-00009","EDGE_CASE","ER","CUST-ER00009","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-004501"
"ER-SAME_ID_NAME_VARIANT-00010","EDGE_CASE","ER","CUST-ER00010","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000192"
"ER-SAME_ID_NAME_VARIANT-00011","EDGE_CASE","ER","CUST-ER00011","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007136"
"ER-SAME_ID_NAME_VARIANT-00012","EDGE_CASE","ER","CUST-ER00012","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-003727"
"ER-SAME_ID_NAME_VARIANT-00013","EDGE_CASE","ER","CUST-ER00013","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007988"
"ER-SAME_ID_NAME_VARIANT-00014","EDGE_CASE","ER","CUST-ER00014","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002687"
"ER-SAME_ID_NAME_VARIANT-00015","EDGE_CASE","ER","CUST-ER00015","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002756"
"ER-SAME_ID_NAME_VARIANT-00016","EDGE_CASE","ER","CUST-ER00016","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000775"
"ER-SAME_ID_NAME_VARIANT-00017","EDGE_CASE","ER","CUST-ER00017","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-008126"
"ER-SAME_ID_NAME_VARIANT-00018","EDGE_CASE","ER","CUST-ER00018","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000286"
"ER-SAME_ID_NAME_VARIANT-00019","EDGE_CASE","ER","CUST-ER00019","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-004747"
"ER-SAME_ID_NAME_VARIANT-00020","EDGE_CASE","ER","CUST-ER00020","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-008185"
"ER-SAME_ID_NAME_VARIANT-00021","EDGE_CASE","ER","CUST-ER00021","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007379"
"ER-SAME_ID_NAME_VARIANT-00022","EDGE_CASE","ER","CUST-ER00022","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-004528"
"ER-SAME_ID_NAME_VARIANT-00023","EDGE_CASE","ER","CUST-ER00023","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-009069"
"ER-SAME_ID_NAME_VARIANT-00024","EDGE_CASE","ER","CUST-ER00024","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-006902"
"ER-SAME_ID_NAME_VARIANT-00025","EDGE_CASE","ER","CUST-ER00025","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007789"
"ER-SAME_ID_NAME_VARIANT-00026","EDGE_CASE","ER","CUST-ER00026","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-001072"
"ER-SAME_ID_NAME_VARIANT-00027","EDGE_CASE","ER","CUST-ER00027","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-004686"
"ER-SAME_ID_NAME_VARIANT-00028","EDGE_CASE","ER","CUST-ER00028","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-001335"
"ER-SAME_ID_NAME_VARIANT-00029","EDGE_CASE","ER","CUST-ER00029","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002183"
"ER-SAME_ID_NAME_VARIANT-00030","EDGE_CASE","ER","CUST-ER00030","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-003069"
"ER-SAME_ID_NAME_VARIANT-00031","EDGE_CASE","ER","CUST-ER00031","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-003355"
"ER-SAME_ID_NAME_VARIANT-00032","EDGE_CASE","ER","CUST-ER00032","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007732"
"ER-SAME_ID_NAME_VARIANT-00033","EDGE_CASE","ER","CUST-ER00033","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-003662"
"ER-SAME_ID_NAME_VARIANT-00034","EDGE_CASE","ER","CUST-ER00034","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-005964"
"ER-SAME_ID_NAME_VARIANT-00035","EDGE_CASE","ER","CUST-ER00035","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-001520"
"ER-SAME_ID_NAME_VARIANT-00036","EDGE_CASE","ER","CUST-ER00036","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-006911"
"ER-SAME_ID_NAME_VARIANT-00037","EDGE_CASE","ER","CUST-ER00037","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-001620"
"ER-SAME_ID_NAME_VARIANT-00038","EDGE_CASE","ER","CUST-ER00038","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-003522"
"ER-SAME_ID_NAME_VARIANT-00039","EDGE_CASE","ER","CUST-ER00039","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-006139"
"ER-SAME_ID_NAME_VARIANT-00040","EDGE_CASE","ER","CUST-ER00040","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007653"
"ER-SAME_ID_NAME_VARIANT-00041","EDGE_CASE","ER","CUST-ER00041","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007661"
"ER-SAME_ID_NAME_VARIANT-00042","EDGE_CASE","ER","CUST-ER00042","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-003726"
"ER-SAME_ID_NAME_VARIANT-00043","EDGE_CASE","ER","CUST-ER00043","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000086"
"ER-SAME_ID_NAME_VARIANT-00044","EDGE_CASE","ER","CUST-ER00044","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000171"
"ER-SAME_ID_NAME_VARIANT-00045","EDGE_CASE","ER","CUST-ER00045","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002565"
"ER-SAME_ID_NAME_VARIANT-00046","EDGE_CASE","ER","CUST-ER00046","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-008875"
"ER-SAME_ID_NAME_VARIANT-00047","EDGE_CASE","ER","CUST-ER00047","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007488"
"ER-SAME_ID_NAME_VARIANT-00048","EDGE_CASE","ER","CUST-ER00048","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-003563"
"ER-SAME_ID_NAME_VARIANT-00049","EDGE_CASE","ER","CUST-ER00049","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-006887"
"ER-SAME_ID_NAME_VARIANT-00050","EDGE_CASE","ER","CUST-ER00050","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-001711"
"ER-SAME_ID_NAME_VARIANT-00051","EDGE_CASE","ER","CUST-ER00051","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-005351"
"ER-SAME_ID_NAME_VARIANT-00052","EDGE_CASE","ER","CUST-ER00052","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002606"
"ER-SAME_ID_NAME_VARIANT-00053","EDGE_CASE","ER","CUST-ER00053","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-001610"
"ER-SAME_ID_NAME_VARIANT-00054","EDGE_CASE","ER","CUST-ER00054","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-006231"
"ER-SAME_ID_NAME_VARIANT-00055","EDGE_CASE","ER","CUST-ER00055","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-001796"
"ER-SAME_ID_NAME_VARIANT-00056","EDGE_CASE","ER","CUST-ER00056","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-006332"
"ER-SAME_ID_NAME_VARIANT-00057","EDGE_CASE","ER","CUST-ER00057","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002576"
"ER-SAME_ID_NAME_VARIANT-00058","EDGE_CASE","ER","CUST-ER00058","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-008105"
"ER-SAME_ID_NAME_VARIANT-00059","EDGE_CASE","ER","CUST-ER00059","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007825"
"ER-SAME_ID_NAME_VARIANT-00060","EDGE_CASE","ER","CUST-ER00060","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007032"
"ER-SAME_ID_NAME_VARIANT-00061","EDGE_CASE","ER","CUST-ER00061","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002801"
"ER-SAME_ID_NAME_VARIANT-00062","EDGE_CASE","ER","CUST-ER00062","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-005738"
"ER-SAME_ID_NAME_VARIANT-00063","EDGE_CASE","ER","CUST-ER00063","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-004817"
"ER-SAME_ID_NAME_VARIANT-00064","EDGE_CASE","ER","CUST-ER00064","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002902"
"ER-SAME_ID_NAME_VARIANT-00065","EDGE_CASE","ER","CUST-ER00065","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000081"
"ER-SAME_ID_NAME_VARIANT-00066","EDGE_CASE","ER","CUST-ER00066","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007502"
"ER-SAME_ID_NAME_VARIANT-00067","EDGE_CASE","ER","CUST-ER00067","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002265"
"ER-SAME_ID_NAME_VARIANT-00068","EDGE_CASE","ER","CUST-ER00068","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-007212"
"ER-SAME_ID_NAME_VARIANT-00069","EDGE_CASE","ER","CUST-ER00069","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-006593"
"ER-SAME_ID_NAME_VARIANT-00070","EDGE_CASE","ER","CUST-ER00070","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-006973"
"ER-SAME_ID_NAME_VARIANT-00071","EDGE_CASE","ER","CUST-ER00071","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-006509"
"ER-SAME_ID_NAME_VARIANT-00072","EDGE_CASE","ER","CUST-ER00072","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002598"
"ER-SAME_ID_NAME_VARIANT-00073","EDGE_CASE","ER","CUST-ER00073","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002043"
"ER-SAME_ID_NAME_VARIANT-00074","EDGE_CASE","ER","CUST-ER00074","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-008016"
"ER-SAME_ID_NAME_VARIANT-00075","EDGE_CASE","ER","CUST-ER00075","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002360"
"ER-SAME_ID_NAME_VARIANT-00076","EDGE_CASE","ER","CUST-ER00076","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000547"
"ER-SAME_ID_NAME_VARIANT-00077","EDGE_CASE","ER","CUST-ER00077","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-005631"
"ER-SAME_ID_NAME_VARIANT-00078","EDGE_CASE","ER","CUST-ER00078","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-001634"
"ER-SAME_ID_NAME_VARIANT-00079","EDGE_CASE","ER","CUST-ER00079","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000187"
"ER-SAME_ID_NAME_VARIANT-00080","EDGE_CASE","ER","CUST-ER00080","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-008730"
"ER-SAME_ID_NAME_VARIANT-00081","EDGE_CASE","ER","CUST-ER00081","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-003243"
"ER-SAME_ID_NAME_VARIANT-00082","EDGE_CASE","ER","CUST-ER00082","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-006452"
"ER-SAME_ID_NAME_VARIANT-00083","EDGE_CASE","ER","CUST-ER00083","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-001033"
"ER-SAME_ID_NAME_VARIANT-00084","EDGE_CASE","ER","CUST-ER00084","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-008890"
"ER-SAME_ID_NAME_VARIANT-00085","EDGE_CASE","ER","CUST-ER00085","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000743"
"ER-SAME_ID_NAME_VARIANT-00086","EDGE_CASE","ER","CUST-ER00086","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-003505"
"ER-SAME_ID_NAME_VARIANT-00087","EDGE_CASE","ER","CUST-ER00087","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-002981"
"ER-SAME_ID_NAME_VARIANT-00088","EDGE_CASE","ER","CUST-ER00088","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000759"
"ER-SAME_ID_NAME_VARIANT-00089","EDGE_CASE","ER","CUST-ER00089","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000599"
"ER-SAME_ID_NAME_VARIANT-00090","EDGE_CASE","ER","CUST-ER00090","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-001070"
