"source_merchant_id","source_business_id","merchant_name","mcc","declared_expected_volume_band","declared_expected_ticket_band","onboarded_date","status","settlement_source_account_id","operating_hours_declared","outlet_count"
"MER-00001","BUS-00056","Maju Utama - Fast Food","5814","GT_1B","LT_50K","2023-01-29","ACTIVE","ACC-0011900","09:00-21:00","6"
"MER-00002","BUS-00259","Sentosa Perkasa - Travel Agencies","4722","250M_1B","GT_1M","2024-02-07","ACTIVE","ACC-0012156","09:00-21:00","9"
"MER-00003","BUS-01132","Cemerlang Perkasa - Computer Network Services","4816","50M_250M","50K_250K","2023-05-06","ACTIVE","ACC-0013291","00:00-23:59","2"
"MER-00004","BUS-00495","Harapan Niaga - Eating Places","5812","GT_1B","50K_250K","2023-06-15","ACTIVE","ACC-0012463","08:00-17:00","8"
"MER-00005","BUS-00109","Harapan Perkasa - Electronics Stores","5732","LT_50M","GT_1M","2023-10-04","CLOSED","ACC-0011967","09:00-21:00","4"
"MER-00006","BUS-00773","Sejahtera Bersama - Computers and Peripherals","5045","250M_1B","GT_1M","2024-01-16","ACTIVE","ACC-0012827","00:00-23:59","9"
"MER-00007","BUS-00339","Maju Nusantara - Taxicabs and Limousines","4121","LT_50M","LT_50K","2025-02-06","ACTIVE","ACC-0012257","08:00-17:00","8"
"MER-00008","BUS-00204","Maju Perkasa - Colleges and Universities","8220","LT_50M","GT_1M","2024-06-18","ACTIVE","ACC-0012087","09:00-21:00","1"
"MER-00009","BUS-00165","Jaya Niaga - Quasi Cash","6051","LT_50M","GT_1M","2023-10-28","ACTIVE","ACC-0012039","09:00-21:00","1"
"MER-00010","BUS-00317","Jaya Niaga - Drug Stores","5912","50M_250M","50K_250K","2025-11-10","ACTIVE","ACC-0012230","10:00-22:00","7"
"MER-00011","BUS-00272","Sejahtera Nusantara - Quasi Cash","6051","50M_250M","GT_1M","2023-06-28","ACTIVE","ACC-0012174","09:00-21:00","6"
"MER-00012","BUS-00371","Mandiri Digital - Colleges and Universities","8220","50M_250M","GT_1M","2024-11-14","ACTIVE","ACC-0012298","10:00-22:00","6"
"MER-00013","BUS-00270","Lestari Perkasa - Taxicabs and Limousines","4121","LT_50M","LT_50K","2025-03-18","ACTIVE","ACC-0012171","08:00-17:00","2"
"MER-00014","BUS-00687","Cemerlang Utama - Precious Stones and Metals","5094","GT_1B","GT_1M","2024-03-19","ACTIVE","ACC-0012719","08:00-17:00","10"
"MER-00015","BUS-00704","Sejahtera Perkasa - Taxicabs and Limousines","4121","GT_1B","LT_50K","2025-10-18","ACTIVE","ACC-0012745","00:00-23:59","9"
"MER-00016","BUS-00947","Mandiri Niaga - Betting-adjacent (restricted)","7995","LT_50M","GT_1M","2023-07-17","ACTIVE","ACC-0013052","08:00-17:00","7"
