"source_device_id","device_type","os_family","app_version","is_emulator","is_rooted","first_seen","last_seen"
"DEV-000001","IOS_PHONE","Android 14","3.5.6","false","false","2025-07-07T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000002","ANDROID_PHONE","Android 13","7.12.1","false","false","2026-01-09T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000003","ANDROID_PHONE","Android 14","7.8.3","false","false","2025-09-24T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000004","ANDROID_PHONE","Android 14","3.12.5","false","false","2025-11-03T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000005","IOS_PHONE","Android 14","7.2.7","false","false","2025-07-20T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000006","IOS_PHONE","Android 15","5.5.6","false","false","2025-11-21T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000007","WEB_BROWSER","Other","4.10.2","false","false","2025-03-27T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000008","IOS_PHONE","iOS 18","7.18.2","false","false","2026-03-21T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000009","ANDROID_PHONE","Android 14","5.9.2","false","false","2025-04-21T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000010","IOS_PHONE","Android 13","3.1.7","false","false","2026-03-05T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000011","ANDROID_PHONE","Android 14","3.8.0","false","false","2025-08-30T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000012","TABLET","Other","6.15.5","false","false","2025-10-27T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000013","ANDROID_PHONE","Android 14","4.0.7","false","false","2025-05-12T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000014","ANDROID_PHONE","Android 15","4.8.5","false","false","2025-12-21T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000015","ANDROID_PHONE","Android 14","5.6.4","false","false","2025-11-01T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000016","ANDROID_PHONE","iOS 17","7.5.4","false","false","2025-10-04T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000017","ANDROID_PHONE","iOS 17","5.10.0","false","false","2025-05-24T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000018","ANDROID_PHONE","iOS 17","7.13.7","false","false","2025-03-20T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000019","ANDROID_PHONE","iOS 18","6.14.8","false","false","2025-06-11T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000020","ANDROID_PHONE","iOS 17","7.15.5","false","false","2026-03-12T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000021","ANDROID_PHONE","Android 15","7.4.5","false","false","2025-12-10T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000022","WEB_BROWSER","Other","5.14.1","false","false","2025-12-11T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000023","ANDROID_PHONE","iOS 17","3.15.7","false","false","2025-08-29T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000024","ANDROID_PHONE","Android 15","3.1.2","false","false","2025-10-15T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000025","ANDROID_PHONE","iOS 17","5.11.0","false","false","2025-04-23T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000026","ANDROID_PHONE","iOS 17","3.15.0","false","false","2025-09-07T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000027","ANDROID_PHONE","Android 15","6.14.0","false","false","2025-10-27T00:00:00+07:00","2026-09-30T00:00:00+07:00"
