"scenario_id","label_type","pattern_code","entity_source_id","window_start","window_end","expected_reason_code","note"
"ER-SAME_ID_NAME_VARIANT-00001","EDGE_CASE","ER","CUST-ER00001","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000421"
"ER-SAME_ID_NAME_VARIANT-00002","EDGE_CASE","ER","CUST-ER00002","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000083"
"ER-SAME_ID_NAME_VARIANT-00003","EDGE_CASE","ER","CUST-ER00003","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000050"
"ER-SAME_ID_NAME_VARIANT-00004","EDGE_CASE","ER","CUST-ER00004","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000300"
"ER-SAME_ID_NAME_VARIANT-00005","EDGE_CASE","ER","CUST-ER00005","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000084"
"ER-SAME_ID_NAME_VARIANT-00006","EDGE_CASE","ER","CUST-ER00006","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000426"
"ER-SAME_ID_NAME_VARIANT-00007","EDGE_CASE","ER","CUST-ER00007","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000223"
"ER-SAME_ID_NAME_VARIANT-00008","EDGE_CASE","ER","CUST-ER00008","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000254"
"ER-SAME_ID_NAME_VARIANT-00009","EDGE_CASE","ER","CUST-ER00009","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000351"
"ER-SAME_ID_NAME_VARIANT-00010","EDGE_CASE","ER","CUST-ER00010","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000372"
"ER-SAME_PHONE_DOB-00011","EDGE_CASE","ER","CUST-ER00011","","","SAME_PHONE_DOB","must auto-merge; twin of CUST-000110"
"ER-SAME_PHONE_DOB-00012","EDGE_CASE","ER","CUST-ER00012","","","SAME_PHONE_DOB","must auto-merge; twin of CUST-000087"
"ER-SAME_PHONE_DOB-00013","EDGE_CASE","ER","CUST-ER00013","","","SAME_PHONE_DOB","must auto-merge; twin of CUST-000311"
"ER-SAME_PHONE_DOB-00014","EDGE_CASE","ER","CUST-ER00014","","","SAME_PHONE_DOB","must auto-merge; twin of CUST-000083"
"ER-SAME_PHONE_DOB-00015","EDGE_CASE","ER","CUST-ER00015","","","SAME_PHONE_DOB","must auto-merge; twin of CUST-000179"
"ER-SAME_PHONE_DOB-00016","EDGE_CASE","ER","CUST-ER00016","","","SAME_PHONE_DOB","must auto-merge; twin of CUST-000433"
"ER-SAME_PHONE_DOB-00017","EDGE_CASE","ER","CUST-ER00017","","","SAME_PHONE_DOB","must auto-merge; twin of CUST-000060"
"ER-SAME_PHONE_DOB-00018","EDGE_CASE","ER","CUST-ER00018","","","SAME_PHONE_DOB","must auto-merge; twin of CUST-000230"
"ER-SAME_NAME_ONLY-00019","EDGE_CASE","ER","CUST-ER00019","","","SAME_NAME_ONLY","must not auto-merge; twin of CUST-000054"
"ER-SAME_NAME_ONLY-00020","EDGE_CASE","ER","CUST-ER00020","","","SAME_NAME_ONLY","must not auto-merge; twin of CUST-000215"
"ER-SAME_NAME_ONLY-00021","EDGE_CASE","ER","CUST-ER00021","","","SAME_NAME_ONLY","must not auto-merge; twin of CUST-000035"
"ER-SAME_NAME_ONLY-00022","EDGE_CASE","ER","CUST-ER00022","","","SAME_NAME_ONLY","must not auto-merge; twin of CUST-000316"
"ER-SAME_NAME_ONLY-00023","EDGE_CASE","ER","CUST-ER00023","","","SAME_NAME_ONLY","must not auto-merge; twin of CUST-000353"
"ER-SAME_NAME_ONLY-00024","EDGE_CASE","ER","CUST-ER00024","","","SAME_NAME_ONLY","must not auto-merge; twin of CUST-000451"
"ER-SAME_NAME_ONLY-00025","EDGE_CASE","ER","CUST-ER00025","","","SAME_NAME_ONLY","must not auto-merge; twin of CUST-000097"
"ER-SAME_NAME_ONLY-00026","EDGE_CASE","ER","CUST-ER00026","","","SAME_NAME_ONLY","must not auto-merge; twin of CUST-000355"
"ER-SAME_NAME_ONLY-00027","EDGE_CASE","ER","CUST-ER00027","","","SAME_NAME_ONLY","must not auto-merge; twin of CUST-000272"
"ER-IDENTIFIER_CONFLICT-00028","EDGE_CASE","ER","CUST-ER00028","","","IDENTIFIER_CONFLICT","must force PENDING_REVIEW; twin of CUST-000037"
"ER-IDENTIFIER_CONFLICT-00029","EDGE_CASE","ER","CUST-ER00029","","","IDENTIFIER_CONFLICT","must force PENDING_REVIEW; twin of CUST-000271"
"ER-AMBIGUOUS_BAND-00030","EDGE_CASE","ER","CUST-ER00030","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000428"
"ER-AMBIGUOUS_BAND-00031","EDGE_CASE","ER","CUST-ER00031","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000181"
"ER-AMBIGUOUS_BAND-00032","EDGE_CASE","ER","CUST-ER00032","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000327"
"ER-AMBIGUOUS_BAND-00033","EDGE_CASE","ER","CUST-ER00033","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000034"
"ER-AMBIGUOUS_BAND-00034","EDGE_CASE","ER","CUST-ER00034","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000158"
"ER-AMBIGUOUS_BAND-00035","EDGE_CASE","ER","CUST-ER00035","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000411"
"ER-AMBIGUOUS_BAND-00036","EDGE_CASE","ER","CUST-ER00036","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000048"
"ER-AMBIGUOUS_BAND-00037","EDGE_CASE","ER","CUST-ER00037","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000135"
"ER-AMBIGUOUS_BAND-00038","EDGE_CASE","ER","CUST-ER00038","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000265"
"ER-AMBIGUOUS_BAND-00039","EDGE_CASE","ER","CUST-ER00039","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000444"
"ER-AMBIGUOUS_BAND-00040","EDGE_CASE","ER","CUST-ER00040","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000177"
"ER-AMBIGUOUS_BAND-00041","EDGE_CASE","ER","CUST-ER00041","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000182"
"CONTROL-CUST-000008","CONTROL_CLEAN","ALL","CUST-000008","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000032","CONTROL_CLEAN","ALL","CUST-000032","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000039","CONTROL_CLEAN","ALL","CUST-000039","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000040","CONTROL_CLEAN","ALL","CUST-000040","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000049","CONTROL_CLEAN","ALL","CUST-000049","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000053","CONTROL_CLEAN","ALL","CUST-000053","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000063","CONTROL_CLEAN","ALL","CUST-000063","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000085","CONTROL_CLEAN","ALL","CUST-000085","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000087","CONTROL_CLEAN","ALL","CUST-000087","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000092","CONTROL_CLEAN","ALL","CUST-000092","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000093","CONTROL_CLEAN","ALL","CUST-000093","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000107","CONTROL_CLEAN","ALL","CUST-000107","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000123","CONTROL_CLEAN","ALL","CUST-000123","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000137","CONTROL_CLEAN","ALL","CUST-000137","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000141","CONTROL_CLEAN","ALL","CUST-000141","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000161","CONTROL_CLEAN","ALL","CUST-000161","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000191","CONTROL_CLEAN","ALL","CUST-000191","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000194","CONTROL_CLEAN","ALL","CUST-000194","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000198","CONTROL_CLEAN","ALL","CUST-000198","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000212","CONTROL_CLEAN","ALL","CUST-000212","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000213","CONTROL_CLEAN","ALL","CUST-000213","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000233","CONTROL_CLEAN","ALL","CUST-000233","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000237","CONTROL_CLEAN","ALL","CUST-000237","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000243","CONTROL_CLEAN","ALL","CUST-000243","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000269","CONTROL_CLEAN","ALL","CUST-000269","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000276","CONTROL_CLEAN","ALL","CUST-000276","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000281","CONTROL_CLEAN","ALL","CUST-000281","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000302","CONTROL_CLEAN","ALL","CUST-000302","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000315","CONTROL_CLEAN","ALL","CUST-000315","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000320","CONTROL_CLEAN","ALL","CUST-000320","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000328","CONTROL_CLEAN","ALL","CUST-000328","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000334","CONTROL_CLEAN","ALL","CUST-000334","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000349","CONTROL_CLEAN","ALL","CUST-000349","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
