"source_device_id","device_type","os_family","app_version","is_emulator","is_rooted","first_seen","last_seen"
"DEV-000001","IOS_PHONE","Android 14","3.5.6","false","false","2025-07-07T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000002","ANDROID_PHONE","Android 13","7.12.1","false","false","2026-01-09T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000003","ANDROID_PHONE","Android 14","7.8.3","false","false","2025-09-24T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000004","ANDROID_PHONE","Android 14","4.2.6","false","false","2025-10-15T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000005","ANDROID_PHONE","Android 15","6.5.2","false","false","2025-09-29T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000006","IOS_PHONE","iOS 18","4.8.4","false","false","2025-07-30T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000007","IOS_PHONE","Android 14","4.10.2","false","false","2025-07-15T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000008","TABLET","Other","4.19.2","false","false","2025-08-24T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000009","ANDROID_PHONE","iOS 18","4.10.4","false","false","2025-12-27T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000010","ANDROID_PHONE","iOS 17","3.1.0","false","false","2025-09-10T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000011","ANDROID_PHONE","iOS 17","6.14.8","false","false","2025-10-22T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000012","ANDROID_PHONE","iOS 17","5.19.7","false","false","2025-10-02T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000013","ANDROID_PHONE","iOS 17","3.8.3","false","false","2025-11-12T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000014","ANDROID_PHONE","Android 13","6.0.3","false","false","2025-08-08T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000015","IOS_PHONE","iOS 18","5.2.8","false","false","2025-11-14T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000016","ANDROID_PHONE","Android 15","7.6.2","false","false","2025-12-24T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000017","ANDROID_PHONE","iOS 17","6.13.3","false","false","2025-06-20T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000018","IOS_PHONE","Android 14","6.7.6","false","false","2025-10-11T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000019","ANDROID_PHONE","Android 14","7.2.4","false","false","2026-03-17T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000020","ANDROID_PHONE","iOS 17","3.3.0","false","false","2025-06-25T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000021","IOS_PHONE","iOS 17","5.10.3","false","false","2025-06-16T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000022","ANDROID_PHONE","iOS 17","5.18.2","false","false","2025-05-25T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000023","IOS_PHONE","Android 13","4.3.4","false","false","2025-08-17T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000024","IOS_PHONE","iOS 17","5.6.4","false","false","2025-07-23T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000025","ANDROID_PHONE","Android 13","3.19.2","false","false","2025-03-21T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000026","ANDROID_PHONE","iOS 17","5.11.0","false","false","2025-04-23T00:00:00+07:00","2026-09-30T00:00:00+07:00"
"DEV-000027","ANDROID_PHONE","iOS 17","3.15.0","false","false","2025-09-07T00:00:00+07:00","2026-09-30T00:00:00+07:00"
