"scenario_id","label_type","pattern_code","entity_source_id","window_start","window_end","expected_reason_code","note"
"ER-SAME_ID_NAME_VARIANT-00001","EDGE_CASE","ER","CUST-ER00001","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000063"
"ER-SAME_ID_NAME_VARIANT-00002","EDGE_CASE","ER","CUST-ER00002","","","SAME_ID_NAME_VARIANT","must auto-merge; twin of CUST-000035"
"ER-SAME_PHONE_DOB-00003","EDGE_CASE","ER","CUST-ER00003","","","SAME_PHONE_DOB","must auto-merge; twin of CUST-000087"
"ER-SAME_PHONE_DOB-00004","EDGE_CASE","ER","CUST-ER00004","","","SAME_PHONE_DOB","must auto-merge; twin of CUST-000024"
"ER-SAME_NAME_ONLY-00005","EDGE_CASE","ER","CUST-ER00005","","","SAME_NAME_ONLY","must not auto-merge; twin of CUST-000065"
"ER-SAME_NAME_ONLY-00006","EDGE_CASE","ER","CUST-ER00006","","","SAME_NAME_ONLY","must not auto-merge; twin of CUST-000007"
"ER-IDENTIFIER_CONFLICT-00007","EDGE_CASE","ER","CUST-ER00007","","","IDENTIFIER_CONFLICT","must force PENDING_REVIEW; twin of CUST-000085"
"ER-IDENTIFIER_CONFLICT-00008","EDGE_CASE","ER","CUST-ER00008","","","IDENTIFIER_CONFLICT","must force PENDING_REVIEW; twin of CUST-000088"
"ER-AMBIGUOUS_BAND-00009","EDGE_CASE","ER","CUST-ER00009","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000040"
"ER-AMBIGUOUS_BAND-00010","EDGE_CASE","ER","CUST-ER00010","","","AMBIGUOUS_BAND","fills the manual review queue; twin of CUST-000045"
"CONTROL-CUST-000008","CONTROL_CLEAN","ALL","CUST-000008","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000032","CONTROL_CLEAN","ALL","CUST-000032","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000039","CONTROL_CLEAN","ALL","CUST-000039","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000040","CONTROL_CLEAN","ALL","CUST-000040","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000049","CONTROL_CLEAN","ALL","CUST-000049","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000053","CONTROL_CLEAN","ALL","CUST-000053","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000063","CONTROL_CLEAN","ALL","CUST-000063","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000085","CONTROL_CLEAN","ALL","CUST-000085","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000087","CONTROL_CLEAN","ALL","CUST-000087","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"P01-POS-0001","INJECTED_POSITIVE","P01","CUST-000054","2026-08-18","2026-08-18","P01_UNUSUALLY_LARGE_SINGLE_TRANSFER","Single transfer far above the individual threshold band"
"P02-POS-0001","INJECTED_POSITIVE","P02","CUST-000034","2026-06-09","2026-06-15","P02_STRUCTURING_BELOW_THE_REPORTING_THRESHOLD","3 deposits in band within a 7-day window"
"P03-POS-0001","INJECTED_POSITIVE","P03","CUST-000030","2026-06-23","2026-06-23","P03_SAME-DAY_PASS-THROUGH","Funds in and substantially out again within the same day"
"P04-POS-0001","INJECTED_POSITIVE","P04","CUST-000058","2026-07-14","2026-07-17","P04_TRANSACTION_COUNT_SPIKE_AGAINST_BASELINE","Transaction count far above the entity's own baseline"
"P05-POS-0001","INJECTED_POSITIVE","P05","CUST-000052","2026-04-03","2026-08-31","P05_DORMANT_ACCOUNT_REACTIVATION","150 dormant days, then a material credit"
"P06-POS-0001","INJECTED_POSITIVE","P06","CUST-000071","2026-08-24","2026-09-03","P06_UNIFORM_ROUND_AMOUNTS","Repeated identical round amount 50,000,000"
"P07-POS-0001","INJECTED_POSITIVE","P07","CUST-000050","2026-08-03","2026-09-07","P07_STEPPED_WEEKLY_VALUE_INCREASE","Weekly value stepping up by 2-3x"
"P08-POS-0001","INJECTED_POSITIVE","P08","CUST-000038","2026-07-07","2026-07-27","P08_CONCENTRATED_HIGH-RISK_GEOGRAPHY_EXPOSURE","Exposure concentrated on listed geography KY"
"P09-POS-0001","INJECTED_POSITIVE","P09","BUS-00006","2026-06-02","2026-06-16","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000095 shared by 6 unrelated entities"
"P09-POS-0001","INJECTED_POSITIVE","P09","CUST-000060","2026-06-02","2026-06-16","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000095 shared by 6 unrelated entities"
"P09-POS-0001","INJECTED_POSITIVE","P09","CUST-000034","2026-06-02","2026-06-16","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000095 shared by 6 unrelated entities"
"P09-POS-0001","INJECTED_POSITIVE","P09","CUST-000002","2026-06-02","2026-06-16","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000095 shared by 6 unrelated entities"
"P09-POS-0001","INJECTED_POSITIVE","P09","CUST-000044","2026-06-02","2026-06-16","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000095 shared by 6 unrelated entities"
"P09-POS-0001","INJECTED_POSITIVE","P09","CUST-000042","2026-06-02","2026-06-16","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000095 shared by 6 unrelated entities"
"P10-POS-0001","INJECTED_POSITIVE","P10","BUS-00010","2026-08-24","2026-09-18","P10_MERCHANT_ACTIVITY_INCONSISTENT_WITH_ITS_MCC","Ticket size inconsistent with MCC 5977"
"P11-POS-0001","INJECTED_POSITIVE","P11","CUST-000046","2026-07-16","2026-07-21","P11_MANY-TO-ONE_FUNNEL_WITH_DEVICE_OVERLAP","15-to-1 convergence with device overlap"
"P12-POS-0001","INJECTED_POSITIVE","P12","CUST-000071","2026-04-01","2026-09-30","P12_NAME_SIMILAR_TO_A_SYNTHETIC_LIST_RECORD","Name close to list record WL-00020 (SANCTIONS_SYNTHETIC)"
"P01-EDGE-0001","EDGE_CASE","P01","CUST-000029","2026-07-15","2026-08-02","P01_UNUSUALLY_LARGE_SINGLE_TRANSFER","Legitimate look-alike for P01"
"P01-BOUND-0001","EDGE_CASE","P01","CUST-000036","2026-07-09","2026-07-16","P01_UNUSUALLY_LARGE_SINGLE_TRANSFER","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P02-EDGE-0001","EDGE_CASE","P02","CUST-000074","2026-08-06","2026-09-15","P02_STRUCTURING_BELOW_THE_REPORTING_THRESHOLD","Arisan collector: in-band deposits, but always spread past the 7-day window"
"P02-BOUND-0001","EDGE_CASE","P02","BUS-00002","2026-08-18","2026-08-25","P02_STRUCTURING_BELOW_THE_REPORTING_THRESHOLD","Exactly at threshold (500,000,000) — must not fire at default parameters"
"P03-EDGE-0001","EDGE_CASE","P03","CUST-000044","2026-08-18","2026-09-05","P03_SAME-DAY_PASS-THROUGH","Legitimate look-alike for P03"
"P03-BOUND-0001","EDGE_CASE","P03","CUST-000088","2026-08-29","2026-09-05","P03_SAME-DAY_PASS-THROUGH","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P04-EDGE-0001","EDGE_CASE","P04","CUST-000073","2026-06-18","2026-06-24","P04_TRANSACTION_COUNT_SPIKE_AGAINST_BASELINE","Payroll disburser on payday"
"P04-BOUND-0001","EDGE_CASE","P04","CUST-000065","2026-06-15","2026-06-22","P04_TRANSACTION_COUNT_SPIKE_AGAINST_BASELINE","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P05-EDGE-0001","EDGE_CASE","P05","CUST-000067","2026-08-22","2026-09-09","P05_DORMANT_ACCOUNT_REACTIVATION","Legitimate look-alike for P05"
"P05-BOUND-0001","EDGE_CASE","P05","CUST-000015","2026-09-13","2026-09-20","P05_DORMANT_ACCOUNT_REACTIVATION","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P06-EDGE-0001","EDGE_CASE","P06","CUST-000001","2026-08-07","2026-08-23","P06_UNIFORM_ROUND_AMOUNTS","Agent kiosk float top-ups in round amounts"
"P06-BOUND-0001","EDGE_CASE","P06","CUST-000010","2026-09-11","2026-09-18","P06_UNIFORM_ROUND_AMOUNTS","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P07-EDGE-0001","EDGE_CASE","P07","CUST-000019","2026-07-02","2026-07-20","P07_STEPPED_WEEKLY_VALUE_INCREASE","Legitimate look-alike for P07"
"P07-BOUND-0001","EDGE_CASE","P07","BUS-00012","2026-09-06","2026-09-13","P07_STEPPED_WEEKLY_VALUE_INCREASE","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P08-EDGE-0001","EDGE_CASE","P08","CUST-000007","2026-06-06","2026-08-29","P08_CONCENTRATED_HIGH-RISK_GEOGRAPHY_EXPOSURE","Cross-border student receiving family support"
"P08-BOUND-0001","EDGE_CASE","P08","BUS-00004","2026-06-23","2026-06-30","P08_CONCENTRATED_HIGH-RISK_GEOGRAPHY_EXPOSURE","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P09-EDGE-0001","EDGE_CASE","P09","CUST-000018","2026-06-22","2026-07-10","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Legitimate look-alike for P09"
"P09-BOUND-0001","EDGE_CASE","P09","CUST-000030","2026-07-12","2026-07-19","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P10-EDGE-0001","EDGE_CASE","P10","CUST-000017","2026-07-12","2026-07-30","P10_MERCHANT_ACTIVITY_INCONSISTENT_WITH_ITS_MCC","Legitimate look-alike for P10"
"P10-BOUND-0001","EDGE_CASE","P10","CUST-000028","2026-06-12","2026-06-19","P10_MERCHANT_ACTIVITY_INCONSISTENT_WITH_ITS_MCC","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P11-EDGE-0001","EDGE_CASE","P11","CUST-000029","2026-07-22","2026-08-15","P11_MANY-TO-ONE_FUNNEL_WITH_DEVICE_OVERLAP","School fee account: many payers, same names every month"
"P11-BOUND-0001","EDGE_CASE","P11","CUST-000061","2026-06-06","2026-06-13","P11_MANY-TO-ONE_FUNNEL_WITH_DEVICE_OVERLAP","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P12-EDGE-0001","EDGE_CASE","P12","CUST-000064","2026-07-26","2026-08-13","P12_NAME_SIMILAR_TO_A_SYNTHETIC_LIST_RECORD","Legitimate look-alike for P12"
